id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
1011150,1,Alabama,AL,Marion County,Guin,Gu-Win,Town,place,35563,205,5028328,0,33.944319,-87.870368,56934,39047,53934,37.2643315105633
1011160,1,Alabama,AL,Geneva County,Hartford,Hartford city,City,place,36344,334,16152099,37439,31.105348,-85.691225,41057,21608,45280,770.56583917391
1011170,1,Alabama,AL,Jefferson County,Helena,Helena city,City,place,35080,205,53950336,833954,33.285635,-86.874488,93682,300000,55763,359.444828293645
1011180,1,Alabama,AL,Etowah County,Hokes Bluff,Hokes Bluff city,City,place,35903,256,30893300,423908,33.989682,-85.862873,57202,46738,44401,1140.74818957597
1011190,1,Alabama,AL,Covington County,Opp,Horn Hill,Town,place,36467,334,6618368,135412,31.238158,-86.325104,49699,34049,48287,77.3974208024441
1011200,1,Alabama,AL,Etowah County,Attalla,Ivalee,CDP,place,35954,256,19297932,0,34.0372,-86.147175,51926,300000,28590,179.827251800981
1011210,1,Alabama,AL,Lamar County,Millport,Kennedy,Town,place,35576,205,7948840,0,33.580891,-87.986179,44572,34725,36562,152.195391164196
1011220,1,Alabama,AL,Jackson County,Section,Langston,Town,place,35771,256,12755795,8595968,34.545063,-86.09335,56029,31635,62581,65.4314568151737
1011230,1,Alabama,AL,Covington County,Andalusia,Libertyville,Town,place,36420,334,1347464,7932,31.24398,-86.46015,51098,43794,32431,46.1990035007309
1011240,1,Alabama,AL,Covington County,Lockhart,Lockhart,Town,place,36455,334,2818242,103127,31.013011,-86.350273,45465,36849,45634,129.828638282687
1011250,1,Alabama,AL,Washington County,Mcintosh,McIntosh,Town,place,36553,251,2579767,0,31.264957,-88.028369,67392,48713,54529,74.1313816907173
1011260,1,Alabama,AL,Chilton County,Maplesville,Maplesville,Town,place,36750,334,8463711,104846,32.788282,-86.876651,43767,30427,38304,210.190639928957
1011270,1,Alabama,AL,Jefferson County,Fairfield,Midfield city,City,place,35064,205,6869817,0,33.455197,-86.922633,48074,39817,37964,1376.6511796411
1011280,1,Alabama,AL,Mobile County,Mobile,Mobile city,City,place,36606,251,361044263,105325210,30.668426,-88.100226,53330,38231,50855,51243.6483693845
1011290,1,Alabama,AL,Lawrence County,Moulton,Moulton city,City,place,35650,256,15525177,37270,34.488302,-87.282707,42079,28180,39942,1081.05467461344
1011300,1,Alabama,AL,Colbert County,Muscle Shoals,Muscle Shoals city,City,place,35661,256,42811752,53102,34.743692,-87.633774,60729,49109,48170,3371.98478494149
1011310,1,Alabama,AL,Hale County,Newbern,Newbern,Town,place,36765,334,3010370,6872,32.591672,-87.535614,32466,17389,31851,56.3313177265587
1011320,1,Alabama,AL,Tuscaloosa County,Northport,Northport city,City,place,35476,205,43353277,1016012,33.257975,-87.59647,62410,54115,47114,5311.5376828853
1011330,1,Alabama,AL,Lee County,Opelika,Opelika city,City,place,36801,334,154497144,2388300,32.660739,-85.37889,55199,40430,48856,7259.66789832622
1011340,1,Alabama,AL,Sumter County,Panola,Panola,CDP,place,35477,205,1858530,3231,32.946819,-88.262264,22603,6190,29054,9.99808887703625
1011350,1,Alabama,AL,Lee County,Ozark,Phenix City city,City,place,36867,334,72497364,325619,32.461669,-85.025021,86605,79218,52491,695.847229224363
1011360,1,Alabama,AL,Autauga County,Deatsville,Pine Level,CDP,place,36022,334,64250372,132799,32.579539,-86.454318,63066,57698,41175,949.115807710346
1011370,1,Alabama,AL,Elmore County,Prattville,Prattville city,City,place,36067,334,86435482,2322045,32.461908,-86.457385,53597,39054,39602,495.251317277981
1011380,1,Alabama,AL,Franklin County,Red Bay,Red Bay city,City,place,35582,256,25224456,268155,34.436097,-88.136515,39220,29055,33077,1046.49929354485
1011400,1,Alabama,AL,Blount County,Cleveland,Rosa,Town,place,35049,205,9758714,14775,33.992756,-86.500325,55127,44609,39231,87.1966609562178
1011420,1,Alabama,AL,Shelby County,Shelby,Shelby,CDP,place,35143,205,48586750,657199,33.106882,-86.585403,63758,45844,53244,262.086041175498
1011430,1,Alabama,AL,Lee County,Smiths Station,Smiths Station city,City,place,36877,334,17386667,69041,32.534662,-85.111341,57098,45637,48651,1326.28880477322
1011440,1,Alabama,AL,Franklin County,Phil Campbell,Spruce Pine,CDP,place,35581,256,2403095,2825,34.39287,-87.729597,72297,300000,21067,20.9990399615985
1011450,1,Alabama,AL,Walker County,Sumiton,Sumiton city,City,place,35148,205,13529257,19710,33.749269,-87.046903,51907,39657,46146,690.507312520946
1011460,1,Alabama,AL,Tallapoosa County,Tallassee,Tallassee city,City,place,36078,334,27817447,1526561,32.532665,-85.891993,55849,50493,42845,502.572095061375
1011480,1,Alabama,AL,Tuscaloosa County,Tuscaloosa,Tuscaloosa city,City,place,35406,205,159585773,26058465,33.234404,-87.5283,55815,38843,54867,21342.4371487722
1011490,1,Alabama,AL,Chambers County,Valley,Valley city,City,place,36854,334,28436022,0,32.828953,-85.169386,49554,39263,40901,2423.15327526595
1011500,1,Alabama,AL,St. Clair County,Vincent,Vincent,Town,place,35178,205,53311740,978770,33.383145,-86.402544,0,0,0,0.0
1011510,1,Alabama,AL,Chambers County,Camp Hill,Waverly,Town,place,36850,256,7054656,48649,32.730078,-85.570999,71026,60438,56646,41.6971961520149
1011530,1,Alabama,AL,Randolph County,Woodland,Woodland,Town,place,36280,256,4036422,0,33.375627,-85.397439,48217,33446,42907,68.0651083865857
101901,1,Alabama,AL,Chambers County,Wadley,Abanda,CDP,place,36276,256,7764034,34284,33.091627,-85.527029,14741,11398,10903,47.9984
101910,1,Alabama,AL,Pickens County,Aliceville,Aliceville city,City,place,35442,205,11819855,0,33.123686,-88.159364,28347,20997,28311,1057.61739264125
101920,1,Alabama,AL,Jefferson County,Odenville,Argo,Town,place,35120,205,27893577,150331,33.691576,-86.503766,242857,300000,25317,1.13310666666667
101930,1,Alabama,AL,Lee County,Auburn,Auburn city,City,place,36830,334,152375113,2646161,32.607722,-85.489545,59694,38029,60946,13447.9138321012
101940,1,Alabama,AL,Mobile County,Bayou La Batre,Bayou La Batre city,City,place,36509,251,19400655,368667,30.407586,-88.263271,50047,35147,43788,519.27481357065
101950,1,Alabama,AL,Jefferson County,Bessemer,Bessemer city,City,place,35022,205,104798633,439841,33.370789,-86.971596,41239,29150,38565,7625.52857556492
101960,1,Alabama,AL,Greene County,Boligee,Boligee,Town,place,35443,205,10231296,36323,32.7681,-88.028579,32777,12379,58584,196.086834832806
101970,1,Alabama,AL,Marion County,Brilliant,Brilliant,Town,place,35548,205,27687370,0,34.025353,-87.769145,33353,25776,27149,334.951746154687
101980,1,Alabama,AL,Shelby County,Calera,Calera city,City,place,35040,205,62376107,685210,33.122319,-86.745644,65576,64695,38729,2521.942893811
101990,1,Alabama,AL,Pickens County,Carrollton,Carrollton,Town,place,35447,205,5331435,59271,33.261903,-88.095071,41709,27321,44007,239.687292628643
1021006,1,Alabama,AL,Autauga County,Moody,Autaugaville,Track,Track,35004,205,110354665,589709,33.5467968,-86.4306179,45862,32942,40674,1123.83961037007
1021026,1,Alabama,AL,Autauga County,Hoover,Autaugaville,Track,Track,35242,205,10526469,723081,33.4073199,-86.7204009,90262,71401,66042,1559.23822212516
1021036,1,Alabama,AL,Autauga County,Birmingham,Autaugaville,Track,Track,35242,205,7151912,58061,33.4007267,-86.6925733,92018,74570,65160,1035.30875752317
1021046,1,Alabama,AL,Autauga County,Chelsea,Autaugaville,Track,Track,35043,205,16899453,292332,33.3567902,-86.6754096,78399,71839,54844,641.301001348827
1021056,1,Alabama,AL,Autauga County,Maylene,Autaugaville,Track,Track,35114,205,8011090,34567,33.2332362,-86.8499076,85122,75896,58979,959.142977980007
102106,1,Alabama,AL,Autauga County,Ohatchee,Autaugaville,Track,Track,36271,256,177682000,7624905,33.7687621,-86.0372827,66000,54091,47663,1009.15963234656
1021076,1,Alabama,AL,Autauga County,Talladega,Autaugaville,Track,Track,35160,256,10137995,8419,33.4548311,-86.0680822,38882,27264,45128,922.631146193386
1021096,1,Alabama,AL,Autauga County,Dadeville,Autaugaville,Track,Track,36853,256,311017327,1997552,32.88789,-85.6951867,48421,35722,44616,1177.67705743682
1021116,1,Alabama,AL,Autauga County,Holt,Autaugaville,Track,Track,35404,205,9071936,478045,33.2435354,-87.4825444,37965,29413,34880,615.744528440937
1021156,1,Alabama,AL,Autauga County,Nauvoo,Autaugaville,Track,Track,35578,205,153528165,704066,33.9445989,-87.4646876,40072,29226,37412,1103.88352046728
102116,1,Alabama,AL,Autauga County,Lanett,Autaugaville,Track,Track,36863,334,6948352,0,32.8580358,-85.2066713,35951,23009,38779,1174.45458780452
1021166,1,Alabama,AL,Autauga County,Millry,Autaugaville,Track,Track,36558,251,398488735,659562,31.6256633,-88.3415656,48623,40342,41443,764.841684011414
1021176,1,Alabama,AL,Autauga County,Arley,Autaugaville,Track,Track,35541,205,145680961,17493922,34.0964418,-87.2271905,49046,36818,42393,680.467613633589
1021196,1,Alabama,AL,Autauga County,Elmore,Autaugaville,Track,Track,36025,334,8020338,60048,32.4473511,-86.4768097,41464,35150,30951,174.328239850479
1021206,1,Alabama,AL,Autauga County,Marbury,Autaugaville,Track,Track,36051,205,292756927,516153,32.6385222,-86.5148731,59061,300000,36002,341.521986778788
1021216,1,Alabama,AL,Autauga County,Perdido,Autaugaville,Track,Track,36562,251,971507312,37571032,31.1104762,-87.7868713,55216,43407,52450,291.78107689488
1021226,1,Alabama,AL,Autauga County,Bay Minette,Autaugaville,Track,Track,36507,251,17478851,155316,30.8969612,-87.7737368,36474,24377,31702,452.159013172281
1021236,1,Alabama,AL,Autauga County,Daphne,Autaugaville,Track,Track,36526,251,144260774,676568,30.6478335,-87.8437739,107603,97539,63498,939.725912501181
1021246,1,Alabama,AL,Autauga County,Loxley,Autaugaville,Track,Track,36551,251,55584945,274609,30.6114771,-87.7725676,50583,41882,37860,343.616966757028
1021256,1,Alabama,AL,Autauga County,Robertsdale,Autaugaville,Track,Track,36567,251,39371387,185367,30.5641292,-87.6870074,69996,300000,37937,178.758304616799
102126,1,Alabama,AL,Autauga County,Clanton,Autaugaville,Track,Track,35045,205,64410623,251385,32.8695805,-86.6588881,56638,41768,48428,1636.79995993231
1021266,1,Alabama,AL,Autauga County,Fairhope,Autaugaville,Track,Track,36532,251,12365598,1268983,30.5408065,-87.891618,67864,52050,64026,547.269402361686
1021276,1,Alabama,AL,Autauga County,Foley,Autaugaville,Track,Track,36535,251,164751029,12027152,30.3802759,-87.7703177,71445,58784,51329,211.854953351018
1021286,1,Alabama,AL,Autauga County,Gulf Shores,Autaugaville,Track,Track,36547,251,34146324,8917573,30.2696285,-87.637277,65583,300000,59906,202.728190356
1021306,1,Alabama,AL,Autauga County,Pensacola,Autaugaville,Track,Track,32506,850,81473914,35304223,30.4111645,-87.4511185,57395,46769,46123,525.620463393664
1021316,1,Alabama,AL,Autauga County,Clayton,Autaugaville,Track,Track,36016,334,343304919,397957,31.6794432,-85.5577196,56947,45615,47083,215.49227901584
1021326,1,Alabama,AL,Autauga County,Eufaula,Autaugaville,Track,Track,36027,334,14630161,380622,31.92041,-85.1757409,43222,26304,47072,285.482583715206
1021336,1,Alabama,AL,Autauga County,Brent,Autaugaville,Track,Track,35034,205,691793540,3983687,32.9533249,-87.0043466,67555,54574,61374,173.524474236284
1021346,1,Alabama,AL,Autauga County,Oneonta,Autaugaville,Track,Track,35121,205,215168178,7529147,33.8723927,-86.4590322,34855,32407,21562,501.224647705478
102136,1,Alabama,AL,Autauga County,Gilbertown,Autaugaville,Track,Track,36908,251,578537985,1836706,31.9275928,-88.3326295,53998,39956,48887,1013.52632441261
1021366,1,Alabama,AL,Autauga County,Blountsville,Autaugaville,Track,Track,35031,205,248719996,1503784,34.0336235,-86.6373178,47717,30660,46395,295.219924081113
1021376,1,Alabama,AL,Autauga County,Hayden,Autaugaville,Track,Track,35079,205,181928636,1231658,33.9036637,-86.7813122,58684,47284,39926,512.883903645398
1021386,1,Alabama,AL,Autauga County,Union Springs,Autaugaville,Track,Track,36089,334,786335890,3475241,32.0821273,-85.8274935,30765,25206,26768,298.245517064669
1021396,1,Alabama,AL,Autauga County,Greenville,Autaugaville,Track,Track,36037,334,32192358,313969,31.7968287,-86.6541421,30564,21911,23037,278.191507682294
1021406,1,Alabama,AL,Autauga County,Mckenzie,Autaugaville,Track,Track,36456,334,264349344,236297,31.575083,-86.6086952,36333,27877,29844,404.477880711399
1021416,1,Alabama,AL,Autauga County,Anniston,Autaugaville,Track,Track,36201,256,6794602,649,33.6421021,-85.8410233,27581,15743,28241,298.182341222536
1021436,1,Alabama,AL,Autauga County,Oxford,Autaugaville,Track,Track,36203,256,23519631,55597,33.6111325,-85.8764727,54371,46871,46868,251.353099243798
1021456,1,Alabama,AL,Autauga County,Jacksonville,Autaugaville,Track,Track,36265,256,41129558,487657,33.7661796,-85.7864612,46650,41809,29011,382.887652125509
102146,1,Alabama,AL,Autauga County,Jackson,Autaugaville,Track,Track,36545,251,447191122,17991801,31.3573817,-87.8407503,40352,30601,39286,386.135396521932
1021476,1,Alabama,AL,Autauga County,Piedmont,Autaugaville,Track,Track,36272,256,87901995,514251,33.8952637,-85.5983598,35282,27332,29556,214.891852494871
1021486,1,Alabama,AL,Autauga County,Alexandria,Autaugaville,Track,Track,36250,256,97226556,796761,33.7837754,-85.9002899,72487,64034,45909,566.394152216584
1021506,1,Alabama,AL,Autauga County,Lafayette,Autaugaville,Track,Track,36862,334,675980103,2617356,32.8660782,-85.4616055,45966,300000,34017,352.162557583042
1021536,1,Alabama,AL,Autauga County,Sand Rock,Autaugaville,Track,Track,35983,256,233670765,33296082,34.1991534,-85.7578347,57239,43170,47243,573.214431080469
1021546,1,Alabama,AL,Autauga County,Spring Garden,Autaugaville,Track,Track,36275,256,373046666,29730687,34.0861716,-85.5068892,51542,300000,60348,208.36494439656
102156,1,Alabama,AL,Autauga County,Jack,Autaugaville,Track,Track,36346,334,208213147,177901,31.5375844,-85.8984006,47550,35327,39518,518.148434304415
1021566,1,Alabama,AL,Autauga County,Jemison,Autaugaville,Track,Track,35085,205,244387804,1211895,32.9910458,-86.8010803,40648,33316,32761,353.584069788347
1021576,1,Alabama,AL,Autauga County,Verbena,Autaugaville,Track,Track,36091,205,256404827,4346403,32.7592425,-86.5260002,67265,46110,59481,295.760606532616
1021586,1,Alabama,AL,Autauga County,Butler,Autaugaville,Track,Track,36904,205,752526706,7297622,32.0656633,-88.2128479,55952,40705,54619,162.594213163544
1021596,1,Alabama,AL,Autauga County,Thomasville,Autaugaville,Track,Track,36784,334,249006278,71854,31.7929013,-87.6425154,40451,36477,28494,195.891207983014
1021606,1,Alabama,AL,Autauga County,Grove Hill,Autaugaville,Track,Track,36451,251,832734330,4857552,31.6170174,-87.6979772,50714,38228,55570,370.39832854273
1021626,1,Alabama,AL,Autauga County,Ashland,Autaugaville,Track,Track,36251,256,383065566,777286,33.1785156,-85.7815679,44628,35064,33198,165.063184766647
1021636,1,Alabama,AL,Autauga County,Heflin,Autaugaville,Track,Track,36264,256,243823026,915596,33.6989979,-85.5727972,31459,25199,32837,452.884645726814
1021656,1,Alabama,AL,Autauga County,Kinston,Autaugaville,Track,Track,36453,334,128071075,606802,31.2721909,-86.1506243,46792,30746,46019,202.793398943271
102166,1,Alabama,AL,Autauga County,Enterprise,Autaugaville,Track,Track,36330,334,40693675,151495,31.3627415,-85.8358304,88951,84211,56279,1360.07819746712
1021676,1,Alabama,AL,Autauga County,Sheffield,Autaugaville,Track,Track,35660,256,4408833,784132,34.7708294,-87.6799629,51659,42586,39138,285.493685236322
1021686,1,Alabama,AL,Autauga County,Tuscumbia,Autaugaville,Track,Track,35674,256,5259140,1044191,34.7403319,-87.7337767,46357,300000,26728,178.99597969184
1021706,1,Alabama,AL,Autauga County,Leighton,Autaugaville,Track,Track,35646,256,118959123,20802427,34.774634,-87.5053473,51460,38525,36757,475.446886715384
1021726,1,Alabama,AL,Autauga County,Castleberry,Autaugaville,Track,Track,36432,251,480256655,3016837,31.3411108,-87.0387457,31633,28982,24289,409.278686045834
1021786,1,Alabama,AL,Autauga County,Luverne,Autaugaville,Track,Track,36049,334,374196528,755161,31.7244285,-86.3608435,40683,28886,35812,374.555075400344
1021796,1,Alabama,AL,Autauga County,Baileyton,Autaugaville,Track,Track,35019,256,147196339,1148200,34.2616429,-86.5683185,61900,65528,43897,195.687209761417
1021806,1,Alabama,AL,Autauga County,Vinemont,Autaugaville,Track,Track,35179,256,89849348,1236612,34.2715006,-86.8345066,53673,39630,49847,261.856920653949
1021846,1,Alabama,AL,Autauga County,Garden City,Autaugaville,Track,Track,35070,256,125741724,1106561,33.9980493,-86.7870516,43726,28444,38686,267.624103291739
1021856,1,Alabama,AL,Autauga County,Ft Rucker,Autaugaville,Track,Track,36362,334,172610491,2735224,31.4097368,-85.7458071,68310,59974,38238,375.974145872863
102186,1,Alabama,AL,Autauga County,Evergreen,Autaugaville,Track,Track,36401,251,90973774,334237,31.4626914,-86.9984985,34206,16878,39063,540.009840509178
1021886,1,Alabama,AL,Autauga County,Daleville,Autaugaville,Track,Track,36322,334,23042778,0,31.3021556,-85.7056542,58239,61815,49004,174.783871680196
1021896,1,Alabama,AL,Autauga County,Midland City,Autaugaville,Track,Track,36350,334,110987657,53907,31.3374977,-85.4657416,42703,33772,31328,286.325626457054
1021906,1,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36703,334,182250003,1051254,32.5526588,-87.0352646,65458,45588,47564,195.792547321148
1021926,1,Alabama,AL,Autauga County,Orrville,Autaugaville,Track,Track,36767,334,541139544,6763758,32.3256691,-87.2191795,30567,20489,27688,321.689290691302
1021956,1,Alabama,AL,Autauga County,Fyffe,Autaugaville,Track,Track,35971,256,214238075,23139,34.4340842,-85.9687233,41338,40569,19063,330.992239601562
1021966,1,Alabama,AL,Autauga County,Crossville,Autaugaville,Track,Track,35962,256,151362799,244096,34.2571822,-86.025488,50821,54135,34788,224.317357145446
1021976,1,Alabama,AL,Autauga County,Ft Payne,Autaugaville,Track,Track,35967,256,116782043,31876,34.3660315,-85.6964687,46422,40662,30381,396.418269037896
1021986,1,Alabama,AL,Autauga County,Fort Payne,Autaugaville,Track,Track,35967,256,91371430,86324,34.4574952,-85.635214,57662,300000,30695,218.525416389677
1022006,1,Alabama,AL,Autauga County,Eclectic,Autaugaville,Track,Track,36024,334,165330802,1570890,32.6328834,-86.0345965,51818,50579,30368,368.451033314108
1022016,1,Alabama,AL,Autauga County,Wetumpka,Autaugaville,Track,Track,36092,334,105723667,2997228,32.5201384,-86.1722101,81059,49903,70277,353.657174715808
1022026,1,Alabama,AL,Autauga County,Millbrook,Autaugaville,Track,Track,36054,334,23526031,97124,32.4977055,-86.3883595,57221,48383,41222,1103.5519302109
1022046,1,Alabama,AL,Autauga County,Brewton,Autaugaville,Track,Track,36426,251,105290359,1106327,31.190044,-87.0635248,63662,57710,42797,241.254041615259
1022056,1,Alabama,AL,Autauga County,Atmore,Autaugaville,Track,Track,36504,251,169008231,407668,31.0717073,-87.4897027,31072,23243,22228,341.150638483114
102206,1,Alabama,AL,Autauga County,Highland Home,Autaugaville,Track,Track,36041,334,226396958,213258,31.949642,-86.3651124,51077,47797,40234,442.911894181803
1022116,1,Alabama,AL,Autauga County,Rainbow City,Autaugaville,Track,Track,35906,256,7358690,571695,33.9640619,-86.041835,50735,39380,40435,556.211756934633
1022126,1,Alabama,AL,Autauga County,Glencoe,Autaugaville,Track,Track,35905,256,57350608,1090995,33.918413,-85.9183325,55639,300000,47971,624.013735835527
1022156,1,Alabama,AL,Autauga County,Fayette,Autaugaville,Track,Track,35555,205,154824533,270991,33.7012455,-87.8909439,40956,28972,44086,594.306431447725
1022166,1,Alabama,AL,Autauga County,Berry,Autaugaville,Track,Track,35546,205,427697476,551762,33.6476543,-87.6143541,54116,32380,54325,240.752987148481
1022176,1,Alabama,AL,Autauga County,Russellville,Autaugaville,Track,Track,35653,256,28670329,255395,34.5125993,-87.7533372,78787,48388,70841,211.660310665613
1022186,1,Alabama,AL,Autauga County,Vina,Autaugaville,Track,Track,35593,256,145933248,3961461,34.4392881,-88.0399565,37300,300000,28404,215.298791925674
1022196,1,Alabama,AL,Autauga County,Samson,Autaugaville,Track,Track,36477,334,431950139,5093030,31.0847817,-86.0861751,37651,27315,36312,274.286061517681
1022216,1,Alabama,AL,Autauga County,Slocomb,Autaugaville,Track,Track,36375,334,163344878,441458,31.0860719,-85.5280322,53395,42052,42981,317.918642662835
1022246,1,Alabama,AL,Autauga County,Fort Gaines,Autaugaville,Track,Track,39851,229,338005193,15802160,31.6127173,-85.1367411,47014,41328,37305,312.123203744633
1022256,1,Alabama,AL,Autauga County,Newton,Autaugaville,Track,Track,36352,334,137915812,47148,31.2347868,-85.5932271,69416,53258,59746,448.542262685113
1022266,1,Alabama,AL,Autauga County,Dothan,Autaugaville,Track,Track,36303,334,6427118,0,31.2531951,-85.4134185,58553,45033,42907,401.42132317336
1022306,1,Alabama,AL,Autauga County,Webb,Autaugaville,Track,Track,36376,334,142938740,185385,31.268835,-85.2759901,49175,37902,46107,358.183778821421
1022316,1,Alabama,AL,Autauga County,Ashford,Autaugaville,Track,Track,36312,334,179161258,826932,31.1644974,-85.24685,54235,42227,43566,294.786794388106
1022326,1,Alabama,AL,Autauga County,Higdon,Autaugaville,Track,Track,35979,256,348636949,13619157,34.8513417,-85.7000137,77322,45128,78600,403.544499385841
1022336,1,Alabama,AL,Autauga County,Stevenson,Autaugaville,Track,Track,35772,256,555430767,18659777,34.8863961,-85.9296764,31235,21391,27591,336.614172703296
1022346,1,Alabama,AL,Autauga County,Scottsboro,Autaugaville,Track,Track,35768,256,278821855,2385911,34.7615314,-86.0476196,50287,42093,36400,415.282713437123
1022546,1,Alabama,AL,Autauga County,Homewood,Autaugaville,Track,Track,35209,205,2538262,0,33.4775177,-86.8149403,28720,26633,21802,439.418782645333
1022566,1,Alabama,AL,Autauga County,Hueytown,Autaugaville,Track,Track,35023,205,11117471,0,33.4525316,-87.0036566,52337,37992,49456,234.152956776354
10226,1,Alabama,AL,Autauga County,Silverhill,Autaugaville,Track,Track,36576,251,71113244,190587,30.5345606,-87.7548736,53701,44265,42398,2036.52828173752
1022616,1,Alabama,AL,Autauga County,Mountain Brook,Autaugaville,Track,Track,35213,205,5012892,18719,33.4947146,-86.7636042,155368,300000,78717,122.855440077847
1022636,1,Alabama,AL,Autauga County,Tarrant,Autaugaville,Track,Track,35217,205,5538290,0,33.5796117,-86.7705036,18813,17037,13371,135.325466666667
1022656,1,Alabama,AL,Autauga County,Trussville,Autaugaville,Track,Track,35173,205,60630455,1508804,33.6062979,-86.5848428,70449,63764,60898,164.284286415631
1022686,1,Alabama,AL,Autauga County,Kimberly,Autaugaville,Track,Track,35091,205,51324198,28998,33.7826093,-86.7857118,80998,70230,58272,345.716167687386
1022696,1,Alabama,AL,Autauga County,Mount Olive,Autaugaville,Track,Track,35117,205,105701999,497054,33.6819146,-86.9203958,74951,65918,49663,478.005005981772
1022706,1,Alabama,AL,Autauga County,Gardendale,Autaugaville,Track,Track,35071,205,40159982,0,33.6758356,-86.7966575,51319,42982,33344,495.774904563047
1022736,1,Alabama,AL,Autauga County,Graysville,Autaugaville,Track,Track,35073,205,56885352,537614,33.6350049,-86.9946308,54763,47866,30405,358.652870467095
1022746,1,Alabama,AL,Autauga County,Pleasant Grove,Autaugaville,Track,Track,35127,205,15730156,0,33.4820282,-86.9862506,90511,73076,57912,336.836905085784
1022756,1,Alabama,AL,Autauga County,Adamsville,Autaugaville,Track,Track,35005,205,31049873,865351,33.5764455,-86.9673879,53383,47460,34172,362.322620496541
1022776,1,Alabama,AL,Autauga County,Vestavia Hills,Autaugaville,Track,Track,35243,205,2833922,376,33.4582894,-86.7384274,95153,85431,61817,243.948425288979
1022856,1,Alabama,AL,Autauga County,Mccalla,Autaugaville,Track,Track,35111,205,94428175,1010203,33.2874081,-87.0030024,90324,88210,53865,651.051308383868
1022896,1,Alabama,AL,Autauga County,Vernon,Autaugaville,Track,Track,35592,205,493059889,850894,33.766138,-88.0979273,48082,14259,58691,154.520518553939
1022916,1,Alabama,AL,Autauga County,Florence,Autaugaville,Track,Track,35630,256,1960895,1340,34.8103953,-87.6709633,28404,25315,18845,198.958966302831
1022966,1,Alabama,AL,Autauga County,Killen,Autaugaville,Track,Track,35645,256,74751483,16582673,34.8504713,-87.4793577,85950,62159,60426,345.011828955272
1022976,1,Alabama,AL,Autauga County,Rogersville,Autaugaville,Track,Track,35652,256,76318747,23100357,34.8122679,-87.3043693,53050,39930,53937,438.078568551439
1022986,1,Alabama,AL,Autauga County,Town Creek,Autaugaville,Track,Track,35672,256,226969791,1721123,34.5666247,-87.418451,49453,30636,36144,251.927334847465
1022996,1,Alabama,AL,Autauga County,Trinity,Autaugaville,Track,Track,35673,256,117628141,989972,34.57105,-87.2129882,50558,35481,47100,348.747526866723
1023006,1,Alabama,AL,Autauga County,Mt Hope,Autaugaville,Track,Track,35651,256,361366358,1982766,34.4039525,-87.4562458,49474,34122,46748,289.522049099226
1023066,1,Alabama,AL,Autauga County,Salem,Autaugaville,Track,Track,36874,334,253715367,6829853,32.5985333,-85.1564072,56743,51524,41271,689.830829083037
